Model,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Sales_Volume,Sales_Classification,Car_Age
M3,South America,Blue,Electric,Automatic,3.7,72566,335,Low,2
M3,North America,Black,Diesel,Automatic,4.5,70266,7919,High,1
M3,Africa,Silver,Electric,Manual,4.5,18159,3526,Low,14
M3,Asia,Red,Petrol,Manual,2.6,97584,370,Low,7
X3,Middle East,Red,Electric,Automatic,4.1,104250,5922,Low,14
X6,Middle East,White,Hybrid,Manual,2.4,67642,329,Low,3
X6,North America,Blue,Electric,Automatic,1.6,135749,9714,High,7
3 Series,South America,White,Electric,Manual,3.5,44184,6578,Low,2
X3,North America,Silver,Electric,Manual,3.7,38391,8636,High,14
5 Series,South America,Red,Diesel,Automatic,4.6,50144,1972,Low,3
i3,Europe,Blue,Diesel,Automatic,1.6,125659,1912,Low,0
3 Series,South America,Black,Petrol,Automatic,1.9,66229,1446,Low,3
X5,Middle East,White,Hybrid,Automatic,1.6,91214,3898,Low,2
i3,South America,Red,Petrol,Automatic,1.9,183173,6715,Low,5
7 Series,South America,Red,Hybrid,Manual,3.7,157389,8999,High,5
M5,North America,White,Petrol,Manual,2.2,187738,5224,Low,2
i8,Africa,Black,Diesel,Manual,2.9,83302,8262,High,12
3 Series,Middle East,Blue,Hybrid,Manual,3.4,193121,7818,High,0
i8,Europe,Blue,Diesel,Automatic,4.6,136898,2160,Low,4
i8,Europe,White,Petrol,Automatic,2.2,17358,8570,High,7
X5,Europe,Grey,Petrol,Manual,2.1,89920,6501,Low,9
7 Series,North America,Black,Petrol,Automatic,4.4,74696,889,Low,10
i3,Middle East,Silver,Petrol,Manual,2.4,75108,3139,Low,14
X5,Europe,White,Petrol,Manual,1.5,132719,286,Low,1
5 Series,Asia,Red,Petrol,Manual,4.7,25331,8193,High,10
i8,Asia,Silver,Petrol,Automatic,4.4,36406,2553,Low,3
5 Series,North America,Silver,Electric,Manual,3.2,143157,5188,Low,2
X3,South America,Blue,Petrol,Automatic,5.0,25577,6424,Low,13
X5,Middle East,White,Electric,Automatic,2.0,28902,7583,High,4
X6,Europe,Red,Diesel,Manual,4.2,132585,7301,High,0
X3,Middle East,Grey,Diesel,Manual,3.9,129746,9538,High,7
M3,Europe,Blue,Hybrid,Automatic,3.2,181950,6749,Low,4
3 Series,North America,Red,Diesel,Automatic,3.6,119640,7818,High,7
i3,Europe,Silver,Petrol,Automatic,4.2,68543,7058,High,13
X1,South America,Red,Hybrid,Manual,3.6,7792,3424,Low,0
X1,Europe,Red,Electric,Manual,2.4,90440,6459,Low,7
i3,Africa,Blue,Hybrid,Automatic,3.5,84030,2540,Low,2
X5,Asia,Red,Hybrid,Manual,3.9,150783,2588,Low,13
5 Series,Asia,Blue,Electric,Automatic,3.9,72291,7323,High,12
5 Series,Asia,Black,Hybrid,Manual,4.6,55653,811,Low,5
M3,South America,Grey,Petrol,Automatic,4.6,75177,3528,Low,5
7 Series,North America,Silver,Hybrid,Automatic,4.2,149264,6644,Low,6
7 Series,Africa,Silver,Diesel,Manual,5.0,42664,8266,High,9
7 Series,Asia,White,Hybrid,Automatic,4.0,73339,616,Low,8
i3,South America,Black,Electric,Automatic,2.3,13703,6645,Low,1
X5,South America,Blue,Electric,Manual,3.4,193189,4017,Low,14
X5,Europe,Red,Electric,Manual,4.4,132983,7603,High,12
X1,South America,Grey,Hybrid,Manual,1.7,153483,1176,Low,0
i8,South America,Red,Hybrid,Manual,2.1,126719,7264,High,8
i8,South America,Red,Hybrid,Manual,3.0,99128,3945,Low,13
X5,Europe,Silver,Diesel,Automatic,4.6,32100,5693,Low,2
7 Series,Asia,Black,Hybrid,Manual,3.0,23805,1020,Low,9
X6,South America,Silver,Diesel,Automatic,3.1,36290,1410,Low,14
3 Series,North America,Black,Diesel,Automatic,2.2,185626,6616,Low,8
5 Series,South America,Black,Petrol,Manual,2.7,182565,7473,High,9
i8,South America,Silver,Hybrid,Manual,3.1,17776,1266,Low,7
i8,Africa,Red,Petrol,Automatic,5.0,137995,6749,Low,10
X6,Asia,Red,Electric,Automatic,3.9,195517,8699,High,1
X6,Africa,Grey,Electric,Manual,2.9,139499,4532,Low,11
M3,Asia,Blue,Diesel,Automatic,3.6,36017,1218,Low,0
X5,Asia,White,Hybrid,Manual,3.8,113239,1431,Low,9
M5,North America,Red,Hybrid,Manual,3.6,168953,1887,Low,10
X3,Asia,White,Diesel,Automatic,3.9,93678,3161,Low,13
M3,Asia,Blue,Petrol,Automatic,2.7,94071,5741,Low,1
7 Series,Middle East,Red,Diesel,Automatic,4.8,9981,1180,Low,1
7 Series,Africa,Red,Petrol,Automatic,2.9,66514,964,Low,12
i3,Asia,Black,Hybrid,Manual,3.1,54282,3584,Low,10
M5,Africa,White,Electric,Manual,1.7,23267,5026,Low,9
X1,Europe,Grey,Petrol,Automatic,3.1,95496,9434,High,14
M3,North America,Grey,Hybrid,Manual,3.4,75896,4484,Low,5
X1,Asia,Black,Diesel,Automatic,1.5,196994,7709,High,5
X1,Europe,Grey,Electric,Manual,3.8,192277,848,Low,8
3 Series,North America,Black,Hybrid,Automatic,2.3,163406,9290,High,10
i8,Middle East,Blue,Diesel,Manual,4.3,194467,8642,High,11
M5,South America,Grey,Electric,Automatic,4.5,62273,7721,High,2
5 Series,North America,Blue,Diesel,Automatic,4.9,820,6273,Low,8
X1,North America,Silver,Petrol,Manual,1.7,77112,966,Low,8
i3,Africa,Black,Electric,Automatic,4.3,60591,955,Low,9
X1,Europe,White,Electric,Automatic,4.9,171268,6649,Low,13
X1,Europe,Blue,Petrol,Automatic,3.6,126235,8657,High,14
M3,South America,Silver,Electric,Manual,3.2,148188,697,Low,8
M3,Europe,Blue,Petrol,Manual,1.9,29221,2857,Low,13
M3,Asia,Black,Petrol,Manual,2.0,178063,9542,High,6
i8,Europe,Grey,Petrol,Manual,4.7,17065,2896,Low,3
i8,Middle East,Black,Electric,Automatic,4.7,79119,7685,High,2
X5,Asia,Red,Diesel,Manual,4.8,172568,3495,Low,0
i3,North America,Grey,Electric,Manual,2.3,125951,1996,Low,7
X3,South America,White,Diesel,Manual,2.4,145314,9437,High,0
M5,Africa,Silver,Electric,Automatic,2.9,104048,5131,Low,13
M5,Europe,White,Electric,Automatic,4.5,16915,8944,High,4
i8,Middle East,Blue,Hybrid,Automatic,4.0,56855,2271,Low,7
7 Series,Europe,Silver,Hybrid,Automatic,1.6,124672,3007,Low,4
X3,Africa,Black,Hybrid,Manual,3.8,83027,8444,High,6
7 Series,North America,White,Electric,Manual,2.8,45115,6320,Low,7
X1,North America,Red,Diesel,Automatic,2.1,139193,6954,Low,13
3 Series,Europe,Red,Hybrid,Automatic,3.5,55274,8344,High,3
5 Series,Africa,Silver,Electric,Automatic,5.0,137787,5192,Low,0
X1,Europe,Silver,Hybrid,Manual,2.9,184977,4025,Low,0
X1,North America,Grey,Hybrid,Automatic,4.5,177152,6078,Low,12
X1,Africa,Red,Diesel,Manual,2.7,21029,3704,Low,1
3 Series,South America,White,Diesel,Automatic,3.6,158151,3696,Low,5
i8,Africa,White,Hybrid,Automatic,2.9,95776,4287,Low,11
M3,Europe,White,Hybrid,Automatic,2.8,151755,6755,Low,0
X5,North America,Silver,Electric,Manual,2.3,194768,588,Low,12
7 Series,Asia,Red,Hybrid,Manual,1.9,98130,5841,Low,13
i8,South America,Red,Diesel,Manual,2.9,24306,4201,Low,10
7 Series,Africa,Silver,Diesel,Manual,2.6,75006,6967,Low,4
3 Series,Asia,Blue,Hybrid,Automatic,4.0,77852,8841,High,2
X6,Europe,Grey,Diesel,Automatic,2.9,140706,6638,Low,5
3 Series,North America,White,Electric,Manual,3.2,114813,9625,High,10
M5,Europe,Grey,Petrol,Manual,4.3,197272,9528,High,2
5 Series,South America,Blue,Diesel,Automatic,2.1,50759,7916,High,3
5 Series,Asia,Black,Electric,Automatic,3.1,4047,6197,Low,12
X5,North America,Red,Electric,Manual,4.3,13866,158,Low,2
M3,North America,Black,Hybrid,Manual,2.4,190808,213,Low,7
X3,Europe,Red,Hybrid,Manual,3.2,189667,7664,High,11
M5,Asia,Blue,Hybrid,Automatic,3.4,70590,3028,Low,10
i3,North America,Grey,Petrol,Automatic,2.0,180160,7957,High,12
i8,Asia,Grey,Diesel,Automatic,3.6,66814,5973,Low,1
i3,Africa,Blue,Electric,Automatic,1.6,197678,541,Low,10
7 Series,Africa,Grey,Diesel,Manual,3.6,33648,3689,Low,5
M3,South America,Black,Petrol,Automatic,4.7,14378,9212,High,7
i8,Europe,Silver,Petrol,Automatic,1.8,91153,8126,High,5
X3,Europe,Red,Hybrid,Manual,3.2,75168,2133,Low,14
M5,Asia,Black,Hybrid,Automatic,2.9,37709,5073,Low,13
X5,South America,Red,Petrol,Manual,2.3,108407,166,Low,2
X5,Europe,White,Electric,Manual,2.4,108811,7255,High,12
X6,Asia,White,Petrol,Manual,2.4,70978,4753,Low,13
X5,Middle East,Blue,Hybrid,Manual,3.3,175625,2211,Low,0
X5,Europe,Black,Petrol,Manual,3.4,185699,4716,Low,4
i8,South America,Black,Diesel,Manual,3.4,55017,8323,High,5
X1,Africa,Red,Diesel,Manual,2.2,58603,5054,Low,3
3 Series,Africa,Silver,Petrol,Automatic,2.9,165932,9854,High,2
i3,Middle East,Blue,Petrol,Automatic,3.0,24456,2719,Low,14
X5,Middle East,Red,Electric,Manual,5.0,92950,9496,High,1
X6,Europe,Grey,Hybrid,Manual,1.7,179629,2017,Low,1
i8,Asia,Silver,Electric,Automatic,3.9,90767,3526,Low,11
3 Series,Asia,Blue,Diesel,Automatic,3.5,103211,2200,Low,12
X1,Middle East,White,Diesel,Manual,1.9,1990,7294,High,7
X3,Asia,White,Petrol,Automatic,2.3,20600,5675,Low,12
X5,Middle East,Black,Petrol,Manual,4.6,94940,3655,Low,14
M3,Middle East,Red,Hybrid,Automatic,1.5,68468,798,Low,6
5 Series,North America,Grey,Diesel,Automatic,3.0,56103,2913,Low,14
X3,South America,Silver,Petrol,Automatic,2.4,91227,7996,High,14
X5,South America,White,Petrol,Automatic,4.1,85437,4972,Low,4
X5,Africa,Silver,Electric,Automatic,3.1,84574,3057,Low,6
X5,Asia,Silver,Diesel,Automatic,2.3,98028,1957,Low,0
X5,Middle East,Grey,Petrol,Manual,3.7,106873,2853,Low,8
M5,North America,Grey,Electric,Manual,3.3,33908,995,Low,13
i3,Africa,Grey,Petrol,Manual,3.9,58208,5641,Low,6
X6,South America,White,Diesel,Manual,2.9,68628,5614,Low,6
M3,Africa,Black,Hybrid,Automatic,4.0,190372,1512,Low,11
M3,Asia,Grey,Petrol,Manual,3.0,90594,9122,High,2
5 Series,Asia,Red,Electric,Manual,2.2,162887,742,Low,5
X6,North America,Grey,Petrol,Automatic,3.5,146955,605,Low,7
i8,North America,Silver,Hybrid,Manual,2.9,142621,7931,High,14
3 Series,Middle East,Grey,Electric,Manual,4.5,15483,931,Low,4
5 Series,South America,Silver,Electric,Manual,2.1,180878,1972,Low,5
X1,South America,Black,Hybrid,Automatic,4.0,87798,7821,High,5
7 Series,Africa,White,Hybrid,Automatic,3.2,140700,1302,Low,1
3 Series,Asia,White,Diesel,Manual,4.1,374,6013,Low,10
X3,Africa,Red,Hybrid,Manual,4.6,133392,4433,Low,8
3 Series,Africa,Silver,Hybrid,Manual,2.3,10926,7148,High,2
X6,Europe,Black,Diesel,Manual,2.3,160096,4825,Low,0
3 Series,Europe,Silver,Petrol,Manual,3.1,98582,7730,High,1
i3,Africa,Red,Petrol,Automatic,4.1,55184,798,Low,13
3 Series,Africa,Black,Electric,Automatic,4.4,93516,7751,High,6
5 Series,Asia,Grey,Petrol,Manual,3.8,194319,580,Low,7
X5,Middle East,Silver,Electric,Automatic,3.7,94815,6188,Low,10
M5,South America,Black,Diesel,Manual,2.2,103445,1238,Low,6
5 Series,Europe,Black,Petrol,Automatic,3.5,181971,4643,Low,9
i3,South America,Grey,Petrol,Automatic,2.0,68051,7134,High,13
i8,Europe,Red,Petrol,Automatic,2.7,77258,4279,Low,8
X6,North America,White,Petrol,Automatic,3.2,127229,4159,Low,10
X6,Middle East,Grey,Petrol,Automatic,4.2,199130,7414,High,1
3 Series,Africa,Red,Electric,Automatic,3.5,102534,5442,Low,8
5 Series,North America,Silver,Diesel,Automatic,3.7,108495,1731,Low,7
i8,Middle East,Red,Petrol,Automatic,2.3,135732,3447,Low,12
3 Series,Europe,Black,Electric,Automatic,3.3,6241,8567,High,14
i3,North America,Grey,Hybrid,Manual,1.6,6810,8103,High,9
5 Series,Europe,White,Electric,Automatic,4.5,162408,8235,High,7
M3,Europe,Black,Electric,Manual,4.0,188968,1050,Low,13
7 Series,Europe,Black,Diesel,Manual,3.0,1996,6757,Low,9
X5,South America,Grey,Diesel,Manual,4.2,89978,7628,High,11
X1,Middle East,Red,Electric,Automatic,2.6,25491,6310,Low,12
5 Series,Europe,Silver,Petrol,Manual,2.5,128235,6950,Low,8
X6,Europe,Black,Hybrid,Automatic,2.5,112017,9247,High,8
3 Series,Europe,White,Petrol,Automatic,2.9,61759,7805,High,10
M5,Middle East,Black,Hybrid,Automatic,4.6,129474,7413,High,12
M5,South America,White,Petrol,Automatic,3.0,100828,8837,High,11
i3,Asia,Red,Diesel,Manual,2.1,134696,4235,Low,10
3 Series,Asia,Black,Hybrid,Manual,4.2,99562,9662,High,5
M3,Asia,Black,Electric,Manual,2.4,56740,4848,Low,8
M3,Africa,Grey,Petrol,Manual,2.6,28942,3171,Low,5
M5,South America,Grey,Hybrid,Manual,2.5,115816,683,Low,4
i3,North America,Grey,Hybrid,Automatic,3.3,73217,1764,Low,3
X5,Europe,Blue,Petrol,Automatic,3.9,55662,2578,Low,0
M3,North America,Blue,Petrol,Automatic,3.8,54247,1580,Low,4
7 Series,South America,Red,Petrol,Automatic,2.3,36288,6998,Low,6
7 Series,Asia,White,Petrol,Automatic,3.6,174117,7755,High,8
3 Series,Asia,Black,Hybrid,Manual,4.4,46238,1490,Low,11
X6,Europe,Red,Diesel,Automatic,3.7,42392,9467,High,6
M3,South America,Blue,Hybrid,Automatic,2.3,19407,9491,High,0
3 Series,South America,Silver,Hybrid,Manual,1.8,105198,3950,Low,9
M5,Middle East,Grey,Petrol,Automatic,4.5,102700,5345,Low,7
i8,South America,Black,Electric,Manual,4.0,13160,1232,Low,5
i8,Africa,Red,Hybrid,Manual,1.5,118563,5009,Low,0
M5,Europe,Grey,Diesel,Manual,2.5,65383,700,Low,11
i3,North America,Grey,Petrol,Automatic,3.2,137516,4906,Low,10
7 Series,Africa,Blue,Electric,Manual,4.0,61731,4163,Low,13
5 Series,Asia,Red,Hybrid,Automatic,2.6,32026,4051,Low,8
i3,Africa,Blue,Petrol,Automatic,1.9,35503,4926,Low,5
i8,Europe,Blue,Petrol,Manual,4.0,153402,372,Low,14
i8,South America,Black,Electric,Manual,3.1,107909,5893,Low,5
M3,Middle East,Grey,Electric,Automatic,1.6,165933,9052,High,9
X5,South America,Red,Hybrid,Manual,3.2,38561,2161,Low,13
X1,Asia,Black,Petrol,Automatic,4.0,52984,4140,Low,14
M5,North America,Silver,Electric,Manual,3.2,125416,7289,High,13
3 Series,Europe,Red,Petrol,Manual,1.5,56462,7098,High,4
M3,Africa,Blue,Electric,Automatic,1.9,184215,1505,Low,12
M5,South America,White,Hybrid,Manual,3.1,79076,8030,High,0
X6,Europe,Grey,Diesel,Automatic,4.5,173024,6852,Low,14
X3,Africa,White,Hybrid,Manual,3.9,93927,2776,Low,10
M3,Africa,White,Hybrid,Manual,2.8,104906,1207,Low,11
M3,Africa,Grey,Petrol,Manual,1.9,179245,9324,High,14
M5,Africa,Grey,Hybrid,Manual,1.9,191138,3593,Low,2
i8,Europe,Black,Petrol,Automatic,2.1,40941,530,Low,8
X6,North America,Silver,Electric,Manual,2.8,153462,7868,High,10
3 Series,Asia,White,Electric,Manual,3.0,53093,8643,High,2
X1,Asia,Grey,Diesel,Automatic,2.5,145977,5821,Low,0
X1,Asia,Red,Hybrid,Manual,5.0,4051,4299,Low,5
i8,South America,Blue,Diesel,Automatic,4.6,24768,6123,Low,11
i8,Asia,White,Hybrid,Automatic,4.5,138118,7070,High,13
X5,Europe,White,Diesel,Automatic,1.8,156806,3708,Low,13
5 Series,Asia,Blue,Diesel,Automatic,2.8,55204,1212,Low,11
X5,Africa,White,Electric,Automatic,3.6,132077,2389,Low,3
i8,Middle East,Red,Petrol,Automatic,4.2,10357,9812,High,1
X5,Africa,Grey,Diesel,Automatic,3.4,157721,3102,Low,4
3 Series,North America,Red,Diesel,Automatic,1.6,154642,3384,Low,10
X5,South America,Black,Hybrid,Automatic,2.6,126809,8193,High,6
3 Series,Asia,Grey,Petrol,Manual,3.3,58142,8287,High,11
i3,Europe,Grey,Hybrid,Manual,4.8,134683,8221,High,8
i3,North America,Blue,Electric,Automatic,4.4,67250,971,Low,13
X6,South America,Black,Hybrid,Automatic,3.7,169624,9133,High,7
M5,Middle East,Black,Diesel,Manual,3.7,199467,4521,Low,7
X5,Middle East,Red,Electric,Manual,1.6,43921,5786,Low,4
5 Series,Asia,Silver,Diesel,Manual,3.4,170048,3643,Low,4
5 Series,Africa,Grey,Diesel,Automatic,4.8,130623,9218,High,4
3 Series,Asia,Blue,Electric,Automatic,2.0,54416,1330,Low,3
i3,Middle East,Black,Hybrid,Automatic,2.1,53059,1952,Low,5
7 Series,Africa,White,Petrol,Manual,2.5,66973,554,Low,1
X6,Europe,Red,Diesel,Automatic,2.7,83939,8841,High,10
X1,Asia,White,Electric,Manual,5.0,35632,9427,High,3
i3,Asia,Grey,Petrol,Manual,2.6,159108,6280,Low,8
X5,Asia,Black,Petrol,Automatic,3.1,175769,3898,Low,10
X3,Europe,Grey,Electric,Automatic,2.7,142389,5828,Low,11
M5,Middle East,Blue,Diesel,Automatic,4.6,64635,2703,Low,5
3 Series,Africa,Red,Hybrid,Manual,3.5,168601,3113,Low,7
M5,North America,Red,Diesel,Automatic,2.6,86900,9755,High,7
5 Series,North America,Red,Electric,Automatic,3.9,22489,6077,Low,1
M3,South America,Black,Electric,Manual,2.7,63059,2696,Low,6
X1,Africa,White,Electric,Automatic,3.9,13803,1595,Low,1
M3,Middle East,Red,Hybrid,Manual,3.9,162844,7239,High,3
X3,Middle East,Silver,Diesel,Automatic,4.9,173372,1020,Low,1
i3,Asia,Blue,Electric,Manual,3.7,106495,3246,Low,12
X5,Middle East,Grey,Hybrid,Automatic,1.9,51785,8491,High,11
X1,Middle East,Grey,Petrol,Manual,3.3,76609,6976,Low,4
7 Series,North America,Red,Diesel,Automatic,4.0,13819,1811,Low,9
i3,Africa,White,Petrol,Automatic,4.6,141210,9485,High,0
3 Series,Middle East,Red,Electric,Manual,1.5,154246,2891,Low,11
i8,Asia,Red,Diesel,Manual,3.1,33084,1902,Low,10
i3,Middle East,Red,Petrol,Manual,4.9,154680,6775,Low,4
i3,Asia,Red,Electric,Manual,3.7,96700,8093,High,8
i3,Europe,Blue,Hybrid,Automatic,3.7,140184,7237,High,6
M3,Middle East,Grey,Hybrid,Manual,3.7,113301,501,Low,5
X3,Europe,White,Diesel,Automatic,2.6,28074,8002,High,8
i8,Africa,White,Diesel,Manual,2.7,152322,4918,Low,8
M5,North America,Silver,Electric,Manual,2.8,138445,1022,Low,14
M3,South America,Grey,Electric,Manual,1.8,75046,8422,High,9
X5,Middle East,White,Hybrid,Automatic,2.4,11493,5466,Low,8
3 Series,Africa,Red,Diesel,Automatic,2.3,137308,6749,Low,12
7 Series,Asia,White,Diesel,Manual,4.0,187235,6340,Low,13
X5,North America,Red,Petrol,Manual,4.2,78022,5088,Low,5
X6,Europe,White,Hybrid,Manual,2.2,68188,6950,Low,2
X1,North America,Red,Hybrid,Automatic,4.9,163902,9624,High,1
X3,Europe,Red,Petrol,Manual,2.5,196020,6451,Low,5
X6,Asia,Grey,Petrol,Manual,1.7,28869,6511,Low,3
X1,Africa,Blue,Diesel,Manual,2.5,12020,7303,High,9
M5,Asia,White,Hybrid,Automatic,3.1,110574,6656,Low,10
i8,North America,Black,Electric,Automatic,3.3,88942,7287,High,6
M5,Africa,Red,Electric,Automatic,4.9,162497,3988,Low,9
X6,South America,White,Hybrid,Manual,5.0,151054,4462,Low,9
X5,North America,White,Electric,Manual,4.3,189341,467,Low,9
3 Series,South America,Black,Petrol,Automatic,3.9,185315,6355,Low,11
3 Series,Middle East,White,Hybrid,Manual,3.8,14573,7332,High,7
M3,North America,Silver,Electric,Manual,3.9,165709,6440,Low,13
7 Series,Asia,Blue,Petrol,Manual,2.5,79425,2866,Low,11
M3,Middle East,Grey,Hybrid,Automatic,3.7,88990,1955,Low,11
M5,Asia,Red,Diesel,Manual,1.8,71966,7709,High,14
M5,Europe,Red,Electric,Automatic,3.5,72932,4245,Low,9
i8,Africa,White,Diesel,Automatic,2.2,7349,994,Low,13
3 Series,North America,Red,Diesel,Automatic,3.9,107883,5876,Low,6
i8,Middle East,Black,Petrol,Automatic,2.0,9601,2019,Low,4
X1,Middle East,Silver,Hybrid,Manual,4.6,102188,7837,High,0
M5,Asia,Silver,Diesel,Manual,4.6,173662,2619,Low,3
M5,South America,Grey,Diesel,Automatic,2.8,1283,2387,Low,14
5 Series,Europe,Blue,Petrol,Manual,4.8,50300,3417,Low,1
i8,Africa,White,Petrol,Automatic,3.0,62764,9942,High,5
X1,Africa,Silver,Hybrid,Manual,4.1,120795,5697,Low,13
X1,North America,Black,Petrol,Manual,1.6,62076,3236,Low,9
M5,Africa,Grey,Petrol,Manual,3.3,112742,7189,High,9
i3,Europe,Blue,Hybrid,Automatic,3.4,199421,169,Low,7
X5,Asia,Grey,Electric,Automatic,1.7,23466,2691,Low,6
X5,South America,Grey,Petrol,Manual,2.5,72003,7281,High,8
X6,North America,Black,Hybrid,Manual,2.8,42975,5140,Low,6
5 Series,North America,Blue,Diesel,Automatic,4.2,164884,2488,Low,7
X5,Middle East,Blue,Electric,Manual,4.2,55333,2083,Low,4
M5,South America,Blue,Petrol,Manual,1.7,25655,806,Low,12
X5,Asia,Grey,Petrol,Automatic,3.5,47189,7852,High,6
X1,Africa,Black,Diesel,Automatic,3.7,97305,7849,High,1
5 Series,Middle East,Red,Petrol,Manual,2.7,59030,7657,High,10
X3,South America,White,Electric,Automatic,3.6,185682,5491,Low,12
X1,Asia,Silver,Diesel,Manual,4.3,40172,9214,High,3
X5,Asia,White,Petrol,Manual,4.5,31042,2398,Low,4
3 Series,Middle East,Red,Electric,Automatic,4.7,169658,6878,Low,4
5 Series,Europe,White,Diesel,Automatic,4.5,67556,2667,Low,14
X6,Middle East,Blue,Petrol,Manual,3.1,70530,8238,High,0
X3,Europe,White,Electric,Manual,4.5,157109,8189,High,12
i8,Middle East,Grey,Electric,Manual,2.3,144326,9989,High,7
7 Series,North America,Red,Petrol,Automatic,1.9,12576,7115,High,4
X6,Asia,Black,Electric,Automatic,4.2,135186,4540,Low,2
i8,North America,Grey,Electric,Automatic,3.8,26627,755,Low,14
X3,South America,Black,Petrol,Manual,2.7,110429,1666,Low,5
7 Series,Europe,Blue,Electric,Automatic,2.8,113104,1051,Low,9
M3,Europe,Silver,Diesel,Automatic,2.1,121233,570,Low,2
5 Series,Asia,Silver,Electric,Automatic,2.4,80172,9160,High,1
i3,Europe,Silver,Hybrid,Manual,4.6,42292,2389,Low,0
X3,Middle East,Red,Petrol,Manual,3.3,133304,5933,Low,1
i8,Europe,Silver,Hybrid,Automatic,1.7,159945,2571,Low,7
M5,Africa,White,Diesel,Manual,1.6,108103,6655,Low,3
X3,Africa,Blue,Electric,Manual,3.4,187708,4512,Low,0
X5,Asia,Blue,Petrol,Automatic,3.4,83741,9994,High,10
X5,South America,Silver,Hybrid,Automatic,3.3,103100,4359,Low,11
X6,Europe,Grey,Electric,Manual,2.9,152599,4793,Low,6
3 Series,Asia,Silver,Petrol,Manual,4.7,168242,6558,Low,9
i8,South America,White,Petrol,Manual,2.2,49577,8822,High,12
i8,Asia,Blue,Diesel,Automatic,2.7,164104,6424,Low,1
i8,Asia,Blue,Petrol,Manual,3.9,8330,6710,Low,7
i3,Africa,Silver,Hybrid,Automatic,3.4,110830,8608,High,13
X6,Middle East,White,Electric,Manual,2.0,168916,7938,High,0
X6,Asia,Blue,Petrol,Manual,1.8,63596,2715,Low,6
5 Series,Europe,Black,Petrol,Automatic,3.4,153662,6388,Low,0
7 Series,North America,Grey,Petrol,Manual,2.3,45793,7658,High,12
M3,North America,Grey,Diesel,Manual,1.9,139560,4243,Low,4
7 Series,North America,Black,Electric,Manual,1.8,174048,8480,High,6
i8,Middle East,Silver,Petrol,Manual,4.2,28759,9806,High,10
M3,Africa,Grey,Diesel,Automatic,3.8,141633,9225,High,8
i3,Asia,Red,Petrol,Manual,3.2,20216,719,Low,2
3 Series,South America,White,Electric,Automatic,2.5,126691,7499,High,10
X1,Africa,Grey,Electric,Manual,3.3,173693,3843,Low,0
M3,Middle East,Grey,Electric,Manual,2.9,23167,7339,High,2
X5,South America,Silver,Petrol,Manual,1.7,148892,5830,Low,9
M3,North America,Blue,Petrol,Automatic,3.9,4990,8837,High,11
i8,North America,Blue,Electric,Automatic,2.9,35513,5688,Low,11
i3,Europe,Blue,Hybrid,Automatic,1.5,111600,2918,Low,10
X5,Middle East,Blue,Petrol,Manual,2.1,160487,6875,Low,3
M5,South America,Red,Diesel,Manual,2.9,114053,6329,Low,6
i3,Africa,Black,Petrol,Manual,2.8,175156,4925,Low,1
M5,Europe,White,Electric,Manual,1.7,188063,250,Low,1
i8,Europe,Red,Diesel,Manual,2.1,69403,1252,Low,10
3 Series,Europe,Blue,Electric,Manual,2.1,49383,4909,Low,11
M5,North America,Grey,Hybrid,Manual,3.5,58207,4870,Low,0
5 Series,South America,Grey,Petrol,Manual,4.4,60756,5249,Low,5
X1,South America,Blue,Diesel,Manual,4.5,187549,1734,Low,13
M3,Africa,Silver,Petrol,Manual,4.9,14066,6061,Low,12
i3,Europe,Grey,Petrol,Automatic,3.0,6066,103,Low,2
i3,North America,Blue,Electric,Automatic,4.3,32470,9045,High,2
X3,Middle East,White,Diesel,Automatic,1.8,61849,7534,High,13
M3,Asia,Black,Electric,Automatic,3.8,163543,3823,Low,0
7 Series,Middle East,White,Diesel,Automatic,4.3,152215,4754,Low,7
7 Series,North America,Red,Electric,Manual,3.1,1079,1686,Low,0
i8,North America,White,Hybrid,Manual,4.8,169331,4283,Low,9
M3,North America,Silver,Petrol,Automatic,1.6,92376,3649,Low,8
M3,North America,Blue,Diesel,Automatic,2.3,157231,4405,Low,3
i8,Europe,White,Hybrid,Manual,4.7,133491,1302,Low,2
7 Series,Europe,White,Diesel,Automatic,4.4,178306,1800,Low,4
3 Series,Africa,White,Diesel,Automatic,1.7,178282,9962,High,11
5 Series,North America,White,Petrol,Automatic,4.1,109154,1401,Low,9
5 Series,Middle East,Blue,Petrol,Manual,4.8,68358,7744,High,0
5 Series,Europe,Grey,Petrol,Manual,3.9,131823,2816,Low,3
3 Series,North America,Grey,Diesel,Manual,1.7,3601,6704,Low,4
M5,Europe,Blue,Electric,Automatic,2.3,31187,6955,Low,3
M5,Africa,Black,Hybrid,Automatic,5.0,85247,4726,Low,1
X6,North America,White,Petrol,Automatic,1.9,6231,1723,Low,1
3 Series,Europe,Black,Hybrid,Manual,4.0,4212,363,Low,0
X3,Asia,Red,Petrol,Manual,2.7,71064,905,Low,9
X6,Asia,Grey,Diesel,Manual,4.5,161941,9296,High,7
M5,North America,Grey,Diesel,Automatic,2.8,136215,2038,Low,1
X3,North America,Grey,Electric,Manual,3.6,189990,1893,Low,2
X5,Middle East,Grey,Hybrid,Manual,2.1,4989,3894,Low,13
i8,Africa,Black,Petrol,Manual,2.9,134907,6726,Low,6
